Name,Publishers,Developers,Description,Price,Release Date,Tags
The Hundred Line -Last Defense Academy-,Aniplex Inc.,Too Kyo Games;Media.Vision Inc.,Kazutaka Kodaka and Kotaro Uchikoshi join forces for the first time to deliver the ULTIMATE adventure game! 15 students are tasked with defending a school from grotesque monsters for 100 days. Can they make it to the end? And will they survive long enough to uncover the truth?,$59.99,"Apr 24, 2025","Multiple Endings,Adventure,Story Rich,Dark Humor,Anime,Dark Comedy,Turn-Based Strategy,Dystopian,Visual Novel,Turn-Based Tactics,Survival,Simulation,Psychological Horror,Atmospheric,Soundtrack,Singleplayer,Memes,Psychedelic,Conspiracy,Sci-fi"
Book of Yog Idle RPG,元气工作室,元气工作室,"The Book of Yog is a 3D idle RPG game presented with a Cel-Shading art style. You can rally heroes, develop the kingdom and explore the secrets of a lost world. Dozens of heroes, hundreds of skills, thousands of loot for you to combine freely. Come to embark on a journey to build the strongest team!",$0.00,"Jul 29, 2022","Early Access,Hack and Slash,Loot,RPG,Visual Novel,Horror,Sexual Content,Nudity,$0.00,Idler,Action RPG,Exploration,Clicker,Singleplayer,Dating Sim,3D,JRPG,Anime,Immersive Sim,Choose Your Own Adventure"
Five Nights at Freddy's: Into the Pit,Mega Cat Studios,Mega Cat Studios,"Survive five nights of terror in this chilling adventure game. Travel between time periods to solve puzzles, gather clues, and outrun the threat relentlessly pursuing you. Move swiftly and stay hidden, and you may just survive. But be careful—it's not just your own life that’s on the line this time.",$19.99,"Aug 7, 2024","Horror,Pixel Graphics,Adventure,2D,Singleplayer,Exploration,1980s,Multiple Endings,Indie,Point & Click,Action,Side Scroller,1990's,Dark,Survival Horror,Psychological Horror,Atmospheric,Robots,Action-Adventure,Story Rich"
Half-Life,Valve,Valve,"Named Game of the Year by over 50 publications, Valve's debut title blends action and adventure with award-winning technology to create a frighteningly realistic world where players must think to survive. Also includes an exciting multiplayer mode that allows you to play against friends and enemies around the world.",$9.99,"Nov 19, 1998","FPS,Classic,1990's,Singleplayer,Multiplayer,Sci-fi,Shooter,Action,First-Person,Aliens,Story Rich,Silent Protagonist,Atmospheric,Gore,Retro,Moddable,Adventure,Action-Adventure,Difficult,PvP"
Poly Bridge 3,Dry Cactus,Dry Cactus,The best just got better! Rediscover your engineering creativity in this genre-defining bridge engineering and puzzle solving masterpiece.,$19.99,"May 30, 2023","Simulation,Puzzle,3D,Building,Cartoon,Physics,Colorful,Level Editor,Stylized,Crafting,Singleplayer,Funny,Moddable,Sandbox"
Len's Island,Flow Studio;Fireshine Games,Flow Studio,"Discover, survive, and thrive in Len’s Island, where intense dungeon crawling meets open-world action RPG. Master skill-based combat, craft powerful items, build and defend your homestead, and find solace in farming. Your journey, your destiny.",$29.99,"Nov 26, 2021","Open World Survival Craft,Farming,Dungeon Crawler,Survival,Building,Nature,Open World,Crafting,Sandbox,Exploration,Mystery,Adventure,Early Access,Action,Combat,Singleplayer,Base Building,PvE,Procedural Generation,Cinematic"
LEGO® The Lord of the Rings™,Warner Bros. Interactive Entertainment,Traveller's Tales,"Based on The Lord of the Rings motion picture trilogy, LEGO® The Lord of the Rings follows the original story-lines of The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Two Towers, and The Lord of the Rings: The Return of the King, taking players through the epic story events re-imagined with the humor and endl",$19.99,"Nov 27, 2012","LEGO,Adventure,Local Co-Op,Action,Fantasy,Open World,Comedy,Family Friendly,Co-op,Singleplayer,Funny,Casual,Controller,Multiplayer,Split Screen,Platformer,Local Multiplayer,Third Person,Puzzle,Dwarf"
Mini Motorways,Dinosaur Polo Club,Dinosaur Polo Club,"Mini Motorways is a strategy simulation game about designing the road map for a growing city. Build a traffic network, one road at a time, to create a bustling metropolis. Redesign your roads and place your motorways to get everyone where they need to go. How long can you keep the city moving?",$9.99,"Jul 20, 2021","Strategy,Simulation,Casual,Indie,Management,Minimalist,Puzzle,Relaxing,Transportation,Building,Singleplayer,Stylized,Top-Down,Beautiful,City Builder,Family Friendly,Resource Management,Great Soundtrack,Touch-Friendly,Roguelike"
FINAL FANTASY III,Square Enix,Square Enix,The original FINAL FANTASY III comes to life with completely new graphics and audio! A remodeled 2D take on the third game in the world-renowned FINAL FANTASY series! Enjoy the timeless story told through charming retro graphics.,$17.99,"Jul 28, 2021","RPG,JRPG,Singleplayer,2D,Adventure,Class-Based,Exploration,Fantasy,Magic,Nostalgia,Pixel Graphics,Party-Based RPG,Remake,Retro,Turn-Based Combat,Emotional,Lore-Rich,Story Rich,Turn-Based"
Sniper Elite 4,Rebellion,Rebellion,"Discover unrivalled sniping freedom in the largest and most advanced World War 2 shooter ever built. Experience tactical third-person combat, gameplay choice and epic longshots across gigantic levels as you liberate wartime Italy from the grip of Fascism.",$59.99,"Feb 13, 2017","Sniper,Action,Multiplayer,Shooter,War,Stealth,World War II,Co-op,Singleplayer,Third Person,Open World,Violent,Third-Person Shooter,Gore,FPS,Adventure,Tactical,Mature,First-Person,Strategy"
The Jackbox Party Pack 4,"Jackbox Games, Inc.","Jackbox Games, Inc.","The fourth pack in this storied party game franchise features Fibbage 3 and its new game mode, Fibbage: Enough About You; the twisted web game Survive the Internet; the dating contest Monster Seeking Monster; the deranged debate match Bracketeering; and the one-up art game Civic Doodle.",$24.99,"Oct 19, 2017","Casual,Trivia,Local Multiplayer,Indie,Strategy,Funny,Multiplayer,Party Game,Party,Comedy,Board Game,Co-op,Family Friendly,4 Player Local,Local Co-Op,Great Soundtrack"
Gold Mining Simulator,Code Horizon;PlayWay S.A.,Code Horizon,"Become a gold miner. Work hard, dig deep, explore the world, and you’ll become the wealthiest person in Alaska. Use a variety of specialist machines to find as much gold as you can.",$19.99,"Oct 13, 2017","Simulation,Mining,Singleplayer,Realistic,Open World,Indie,Driving,Sandbox,Economy,Building,First-Person,Exploration,Strategy,Management,Automobile Sim,Adventure,Relaxing,Funny,Difficult,Casual"
Living With Sister: Monochrome Fantasy,Kagura Games,Inusuku,"When your father goes off on an adventure, it's up to you to keep the lights on and take care of your sister.",$12.99,"Mar 23, 2024","Sexual Content,Hentai,Nudity,Cute,Mature,NSFW,FPS,Anime,RPG,JRPG,2D,Funny,Dating Sim,Singleplayer,Visual Novel,Indie,Simulation,Psychological Horror,Souls-like,Horror"
Guns of Fury,Gelato Games Ltd,Gelato Games Ltd,"Guns of Fury is a retro-inspired action platformer that combines the run & gun and Metroidvania genres. Explore a vast interconnected world, gain new abilities and weapons, battle epic bosses and stop the plans of an evil corporation before it’s too late!",$14.99,"Feb 13, 2025","Metroidvania,Pixel Graphics,Platformer,Retro,Shooter,Shoot 'Em Up,Old School,Indie,Singleplayer,2D Platformer,2D,Action,Side Scroller,Arcade,Mechs,Combat,Multiple Endings,Military,Adventure,Stylized"
Tape to Tape,Excellent Rectangle,Excellent Rectangle,"Tape to Tape is a roguelite hockey game where every choice matters on your journey to build the best hockey team. Choose your path, hire unique players, discover synergies between them, pick unique abilities, bribe the referees or visit the Blademaster on your way to restore hockey's former glory.",$19.99,"May 3, 2023","Colorful,Sports,Roguelite,Character Customization,Hockey,Co-op,Choices Matter,Management,RPG,Roguelike,Multiplayer,Comic Book,Singleplayer,PvP,4 Player Local,Funny,Arcade,Early Access,Action,Cartoony"
Chef RPG,World 2 Studio,World 2 Studio,"Craft your culinary adventure in a beautiful pixel art world. Manage your restaurants, forage and hunt for ingredients, befriend locals, and grow your culinary empire. What kind of chef will you be?",$19.99,"Sep 12, 2024","Early Access,RPG,Cooking,Pixel Graphics,Life Sim,Management,Open World,Building,Exploration,Immersive Sim,Action RPG,Simulation,Resource Management,Crafting,Relaxing,Combat,Atmospheric,Sci-fi,2D,Top-Down"
FAITH: The Unholy Trinity,New Blood Interactive,Airdorf Games,"What you are about to do has not been approved by the Vatican. As a young priest, struggle against demons, insane cultists, and your own weakening faith in this pixel horror game inspired by the era of classic 8-bit gaming and the ""Satanic Scare"" of the 1980s.",$14.99,"Oct 21, 2022","Horror,Pixel Graphics,Psychological Horror,Indie,Retro,Story Rich,Dark,Atmospheric,Gore,Adventure,Violent,Blood,Great Soundtrack,Survival Horror,Faith,Lovecraftian,Puzzle,Classic,Animation & Modeling,Alternate History"
Terraria,Re-Logic,Re-Logic,"Dig, fight, explore, build! Nothing is impossible in this action-packed adventure game. Four Pack also available!",$9.99,"May 16, 2011","Open World Survival Craft,Sandbox,Survival,2D"
ELDEN RING,"FromSoftware, Inc.","FromSoftware, Inc.;Bandai Namco Entertainment","THE CRITICALLY ACCLAIMED FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.",$59.99,"Feb 24, 2022","Souls-like,Open World,Dark Fantasy,RPG,Difficult,Action RPG,Third Person,Multiplayer,Fantasy,Singleplayer,PvP"
Grand Theft Auto V Enhanced,"Rockstar North","Rockstar Games","Experience entertainment blockbusters Grand Theft Auto V and Grand Theft Auto Online — now upgraded for a new generation with stunning visuals, faster loading, 3D audio, and more, plus exclusive content for GTA Online players.",$29.99,"Mar 4, 2025","Action,Open World,Multiplayer,Crime,Mature,Third Person,Automobile Sim,First-Person,Shooter,Adventure,Racing"
Hades,"Supergiant Games","Supergiant Games","Defy the god of the dead as you hack and slash out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion, Transistor, and Pyre.",$24.99,"Sep 17, 2020","Action Roguelike,Roguelite,Hack and Slash,Indie,Mythology,Action,Roguelike,Singleplayer,Great Soundtrack,RPG"
Super Monkey Ball Banana Mania,"Ryu Ga Gotoku Studio","SEGA","Go Bananas with your favorite monkey gang in the ultimate Super Monkey Ball adventure!",$29.99,"Oct 5, 2021","Action,Colorful,Platformer,Controller,Multiplayer,Psychological Horror,Singleplayer,Difficult,Party,Arcade,Cute"
Red Dead Online,"Rockstar Games","Rockstar Games","Step into the vibrant, ever-evolving world of Red Dead Online and experience life in frontier America. Chase down bounties, battle outlaw gangs and other players, hunt, fish and trade, search for exotic treasures, run Moonshine, and much more to discover in a world of astounding depth and detail.",$19.99,"Dec 1, 2020","Open World,Multiplayer,Western,Action,Adventure,Horses,Realistic,Shooter,Online Co-Op,Third-Person Shooter"
Total War: WARHAMMER,"CREATIVE ASSEMBLY;Feral Interactive (Linux);Feral Interactive (Mac)","SEGA;Feral Interactive (Linux);Feral Interactive (Mac)","Addictive turn-based empire-building with colossal, real-time battles, all set in a world of legendary heroes, giant monsters, flying creatures and storms of magical power.",$59.99,"May 24, 2016","Strategy,Fantasy,RTS,War,Turn-Based Strategy,Games Workshop,Grand Strategy,Multiplayer,Tactical,Dark Fantasy"
StarCraft,"Blizzard Entertainment","Blizzard Entertainment","A real-time strategy game set in a distant sci-fi future where three unique factions—the adaptable Terrans, the insect-like Zerg, and the advanced Protoss—battle for dominance across the galaxy.",$49.95,"Mar 31, 1998","RTS,Sci-Fi,Military,Aliens,Base Building,Resource Management,Multiplayer,Singleplayer Campaign,Classic,Competitive,eSports,Tactical"
